230.95,93.982,78.005,44.225,24.648,12.912,40.967,17.175,18.461,20.46,8.1254,5.0354,10.518,67.381,20.924,13.882
229.32,93.361,77.381,43.831,24.229,12.78,40.327,17.206,18.308,20.335,8.1016,5.024,10.431,66.542,20.76,13.905
227.66,92.745,76.766,43.442,23.819,12.649,39.703,17.239,18.157,20.211,8.0789,5.0132,10.348,65.671,20.599,13.93
225.98,92.135,76.161,43.058,23.418,12.52,39.097,17.275,18.008,20.087,8.0572,5.003,10.267,64.776,20.443,13.954
224.28,91.531,75.564,42.679,23.025,12.393,38.507,17.313,17.861,19.964,8.0365,4.9934,10.188,63.862,20.289,13.98
222.56,90.932,74.977,42.306,22.641,12.268,37.933,17.354,17.716,19.843,8.0167,4.9844,10.111,62.937,20.14,14.006
220.81,90.338,74.398,41.938,22.266,12.144,37.374,17.397,17.573,19.721,7.9979,4.9759,10.037,62.009,19.994,14.033
219.05,89.75,73.828,41.574,21.898,12.022,36.831,17.443,17.433,19.601,7.98,4.9679,9.9642,61.085,19.851,14.061
217.27,89.167,73.267,41.216,21.54,11.901,36.304,17.491,17.294,19.482,7.9631,4.9605,9.8937,60.171,19.711,14.089
215.48,88.59,72.714,40.863,21.189,11.782,35.791,17.54,17.158,19.363,7.9472,4.9536,9.825,59.271,19.575,14.117
213.67,88.018,72.169,40.515,20.846,11.665,35.292,17.592,17.023,19.245,7.9321,4.9472,9.758,58.386,19.441,14.147
211.84,87.451,71.633,40.172,20.511,11.549,34.808,17.646,16.89,19.128,7.918,4.9412,9.6928,57.516,19.31,14.177
210,86.89,71.104,39.834,20.185,11.434,34.337,17.702,16.76,19.012,7.9047,4.9357,9.629,56.659,19.182,14.208
208.15,86.334,70.583,39.501,19.865,11.321,33.88,17.76,16.631,18.897,7.8924,4.9307,9.5668,55.817,19.057,14.239
206.29,85.783,70.07,39.172,19.554,11.21,33.436,17.819,16.505,18.782,7.8809,4.926,9.5059,54.988,18.935,14.271
204.42,85.238,69.565,38.849,19.25,11.1,33.005,17.88,16.38,18.668,7.8703,4.9218,9.4463,54.173,18.815,14.303
202.54,84.697,69.067,38.53,18.954,10.992,32.586,17.942,16.257,18.556,7.8606,4.918,9.3878,53.372,18.697,14.336
200.65,84.162,68.577,38.216,18.664,10.885,32.179,18.006,16.136,18.443,7.8517,4.9146,9.3305,52.585,18.582,14.369
198.75,83.632,68.094,37.906,18.383,10.78,31.784,18.071,16.017,18.332,7.8436,4.9115,9.2741,51.81,18.468,14.403
196.85,83.107,67.617,37.601,18.108,10.676,31.4,18.138,15.9,18.221,7.8364,4.9088,9.2187,51.049,18.357,14.438
194.94,82.586,67.148,37.301,17.84,10.573,31.027,18.206,15.785,18.112,7.8301,4.9064,9.164,50.302,18.248,14.473
193.03,82.071,66.686,37.005,17.579,10.472,30.665,18.275,15.672,18.003,7.8245,4.9043,9.1101,49.567,18.141,14.508
191.12,81.561,66.23,36.714,17.325,10.373,30.314,18.345,15.56,17.894,7.8197,4.9026,9.0567,48.845,18.036,14.545
189.2,81.056,65.781,36.428,17.078,10.275,29.973,18.416,15.45,17.787,7.8157,4.9011,9.004,48.136,17.932,14.581
